posisi,tim,gameplay,poin,form
1,Inter,38,91,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
2,AC Milan,38,79,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
3,Atalanta,38,78,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,D
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,W
4,Juventus,38,78,W
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,W
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
,,,,
,,,,D
,,,,
,,,,L
,,,,
,,,,W
,,,,
,,,,W
