Season,League,,League Level,W,D,L,Goals,+/-,Points,Rank,Manager
20/21,,Serie A,First Tier,28,7,3,89:35:00,54,91,1,Antonio Conte
19/20,,Serie A,First Tier,24,10,4,81:36:00,45,82,2,Antonio Conte
18/19,,Serie A,First Tier,20,9,9,57:33:00,24,69,4,Luciano Spalletti
17/18,,Serie A,First Tier,20,12,6,66:30:00,36,72,4,Luciano Spalletti
16/17,,Serie A,First Tier,19,5,14,72:49:00,23,62,7,Stefano Vecchi
15/16,,Serie A,First Tier,20,7,11,50:38:00,12,67,4,Roberto Mancini
14/15,,Serie A,First Tier,14,13,11,59:48:00,11,55,8,Roberto Mancini
13/14,,Serie A,First Tier,15,15,8,62:39:00,23,60,5,Walter Mazzarri
 12/13,,Serie A,First Tier,16,6,16,55:57:00,-2,54,9,Andrea Stramaccioni
 11/12,,Serie A,First Tier,17,7,14,58:55:00,3,58,6,Andrea Stramaccioni
 10/11,,Serie A,First Tier,23,7,8,69:42:00,27,76,2,Leonardo
 09/10,,Serie A,First Tier,24,10,4,75:34:00,41,82,1,José Mourinho
 08/09,,Serie A,First Tier,25,9,4,70:32:00,38,84,1,José Mourinho
 07/08,,Serie A,First Tier,25,10,3,69:26:00,43,85,1,Roberto Mancini
 06/07,,Serie A,First Tier,30,7,1,80:34:00,46,97,1,Roberto Mancini
 05/06,,Serie A,First Tier,23,7,8,68:30:00,38,76,1,Roberto Mancini
 04/05,,Serie A,First Tier,18,18,2,65:37:00,28,72,3,Roberto Mancini
 03/04,,Serie A,First Tier,17,8,9,59:37:00,22,59,4,Alberto Zaccheroni
 02/03,,Serie A,First Tier,19,8,7,64:38:00,26,65,2,Héctor Cúper
 01/02,,Serie A,First Tier,20,9,5,62:35:00,27,69,3,Héctor Cúper
00/01,,Serie A,First Tier,14,9,11,47:47:00,0,51,5,Marco Tardelli
99/00,,Serie A,First Tier,17,7,10,58:36:00,22,58,4,Marcello Lippi
98/99,,Serie A,First Tier,13,7,14,59:54:00,5,46,8,Roy Hodgson
97/98,,Serie A,First Tier,21,6,7,62:27:00,35,69,2,Luigi Simoni
96/97,,Serie A,First Tier,15,14,5,51:35:00,16,59,3,Luciano Castellini
95/96,,Serie A,First Tier,15,9,10,51:30:00,21,54,7,Roy Hodgson
94/95,,Serie A,First Tier,14,10,10,39:34:00,5,52,6,Ottavio Bianchi
93/94,,Serie A,First Tier,11,9,14,46:45:00,1,31:37:00,13,Gianpiero Marini
92/93,,Serie A,First Tier,17,12,5,59:36:00,23,46:22:00,2,Osvaldo Bagnoli
91/92,,Serie A,First Tier,10,17,7,28:28:00,0,37:31:00,8,Luis Suárez
90/91,,Serie A,First Tier,18,10,6,56:31:00,25,46:22:00,3,Giovanni Trapattoni
89/90,,Serie A,First Tier,17,10,7,55:32:00,23,44:24:00,3,Giovanni Trapattoni
